"n","tau","kappa","estimator","range","total_replications","successful_profiles","failed_profiles","median_grid_accepted_set_measure","mean_grid_accepted_set_measure","median_accepted_grid_share","mean_accepted_grid_share","median_number_accepted_grid_points","mean_number_accepted_grid_points","left_boundary_acceptance_rate","right_boundary_acceptance_rate","either_boundary_acceptance_rate","both_boundaries_acceptance_rate","all_grid_points_acceptance_rate"
1000,0.1,0.1,"DML-IVQR-BC","A_0_-1_3",100,100,0,4,3.845,1,0.959756097560976,41,39.35,0.84,0.96,1,0.8,0.56
1000,0.1,0.1,"DML-IVQR-BC","A_1_-3_5",100,100,0,7.575,7.219,0.944444444444444,0.901234567901235,76.5,73,0.64,0.98,0.99,0.63,0.26
1000,0.1,0.1,"Full-GMM","A_0_-1_3",100,100,0,3.9,3.785,0.975609756097561,0.94609756097561,40,38.79,0.93,0.95,0.99,0.89,0.43
1000,0.1,0.1,"Full-GMM","A_1_-3_5",100,100,0,7.8,7.3945,0.975308641975309,0.923703703703704,79,74.82,0.9,0.85,0.98,0.77,0.21
1000,0.1,0.1,"Oracle-GMM","A_0_-1_3",100,100,0,4,3.745,1,0.935853658536585,41,38.37,0.89,0.95,1,0.84,0.58
1000,0.1,0.1,"Oracle-GMM","A_1_-3_5",100,100,0,7.9,7.381,0.987654320987654,0.922345679012346,80,74.71,0.9,0.9,1,0.8,0.43
1000,0.1,0.25,"DML-IVQR-BC","A_0_-1_3",100,100,0,3.75,3.6075,0.926829268292683,0.897804878048781,38,36.81,0.6,0.87,0.95,0.52,0.24
1000,0.1,0.25,"DML-IVQR-BC","A_1_-3_5",100,100,0,5.95,6.04,0.740740740740741,0.752716049382716,60,60.97,0.16,0.98,0.98,0.16,0.06
1000,0.1,0.25,"Full-GMM","A_0_-1_3",100,100,0,3.375,3.304,0.841463414634146,0.822439024390244,34.5,33.72,0.66,0.7,0.92,0.44,0.09
1000,0.1,0.25,"Full-GMM","A_1_-3_5",100,100,0,5.95,5.7735,0.740740740740741,0.720123456790123,60,58.33,0.52,0.67,0.84,0.35,0.03
1000,0.1,0.25,"Oracle-GMM","A_0_-1_3",100,100,0,3.4,3.0195,0.841463414634146,0.750975609756098,34.5,30.79,0.57,0.62,0.88,0.31,0.15
1000,0.1,0.25,"Oracle-GMM","A_1_-3_5",100,100,0,5.325,4.9935,0.666666666666667,0.622098765432099,54,50.39,0.37,0.54,0.77,0.14,0.07
1000,0.1,1,"DML-IVQR-BC","A_0_-1_3",100,100,0,0.6,0.705,0.146341463414634,0.171951219512195,6,7.05,0,0,0,0,0
1000,0.1,1,"DML-IVQR-BC","A_1_-3_5",100,100,0,0.6,0.705,0.0740740740740741,0.087037037037037,6,7.05,0,0,0,0,0
1000,0.1,1,"Full-GMM","A_0_-1_3",100,100,0,0.8,0.757,0.195121951219512,0.184634146341463,8,7.57,0,0,0,0,0
1000,0.1,1,"Full-GMM","A_1_-3_5",100,100,0,0.8,0.757,0.0987654320987654,0.0934567901234568,8,7.57,0,0,0,0,0
1000,0.1,1,"Oracle-GMM","A_0_-1_3",100,100,0,0.4,0.386,0.0975609756097561,0.0941463414634146,4,3.86,0,0,0,0,0
1000,0.1,1,"Oracle-GMM","A_1_-3_5",100,100,0,0.4,0.386,0.0493827160493827,0.0476543209876543,4,3.86,0,0,0,0,0
1000,0.25,0.1,"DML-IVQR-BC","A_0_-1_3",100,100,0,4,3.6505,1,0.911707317073171,41,37.38,0.8,0.95,0.98,0.77,0.55
1000,0.25,0.1,"DML-IVQR-BC","A_1_-3_5",100,100,0,7.7,6.9255,0.962962962962963,0.864691358024691,78,70.04,0.6,0.97,0.99,0.58,0.4
1000,0.25,0.1,"Full-GMM","A_0_-1_3",100,100,0,3.825,3.595,0.951219512195122,0.897073170731707,39,36.78,0.86,0.8,0.96,0.7,0.32
1000,0.25,0.1,"Full-GMM","A_1_-3_5",100,100,0,7.6,6.891,0.950617283950617,0.860864197530864,77,69.73,0.86,0.78,0.93,0.71,0.25
1000,0.25,0.1,"Oracle-GMM","A_0_-1_3",100,100,0,3.9,3.492,0.975609756097561,0.871463414634146,40,35.73,0.84,0.78,0.94,0.68,0.47
