"n","tau","kappa","estimator","mean_signed_error","Bias","MAE","RMSE","coverage","size_null_rejection_rate","MCSE_coverage","median_accepted_set_measure_A","mean_accepted_set_measure_A","full_A_acceptance_rate","left_CR_boundary_contact_rate","right_CR_boundary_contact_rate","point_left_boundary_rate","point_right_boundary_rate","numerical_failure_rate","successful_replications","failed_replications"
500,0.1,1,"DML-IVQR",0.205751565544601,-0.205751565544601,0.301760644614667,0.468068442350106,0.962,0.038,0.00855055553750749,2.15,2.22455,0,0.02,0.186,0,0.002,0,500,0
500,0.1,1,"Full-GMM",0.688751565544601,-0.688751565544601,0.700522615252319,0.800504140551527,0.462,0.538,0.0222960086114085,1.6,1.61895,0,0.052,0.046,0.002,0,0,500,0
500,0.1,1,"Oracle-GMM",0.118751565544601,-0.118751565544601,0.16462062621784,0.214564895356378,0.852,0.148,0.0158805541465026,0.7,0.72265,0,0.002,0,0,0,0,500,0
500,0.1,0.5,"DML-IVQR",0.763515493400312,-0.763515493400312,0.879519305728311,1.26092235999775,0.937875751503006,0.062124248496994,0.0108057012196828,3.725,3.54784569138277,0.146292585170341,0.356713426853707,0.911823647294589,0.00801603206412826,0.0100200400801603,0.002,499,1
500,0.1,0.5,"Full-GMM",0.959351565544601,-0.959351565544601,1.00249366496004,1.26876419649708,0.802,0.198,0.0178211110764733,3.05,3.02165,0.004,0.52,0.53,0.006,0.008,0,500,0
500,0.1,0.5,"Oracle-GMM",0.262351565544601,-0.262351565544601,0.380022707236451,0.611767687887897,0.926,0.074,0.0117067501895274,2.45,2.4231,0.032,0.328,0.392,0.006,0.002,0,500,0
500,0.1,0.25,"DML-IVQR",1.0963515655446,-1.0963515655446,1.23283784539408,1.60964832037066,0.946,0.054,0.0101078187557949,3.9,3.7448,0.34,0.672,0.968,0.016,0.036,0,500,0
500,0.1,0.25,"Full-GMM",1.0975515655446,-1.0975515655446,1.22074058942419,1.5230900955063,0.912,0.088,0.0126693330526907,3.75,3.6306,0.072,0.844,0.848,0.01,0.024,0,500,0
500,0.1,0.25,"Oracle-GMM",0.655551565544601,-0.655551565544601,0.851653738547343,1.25253018130821,0.948,0.052,0.00992935043192656,3.825,3.52695,0.312,0.78,0.866,0.03,0.028,0,500,0
500,0.1,0.1,"DML-IVQR",0.943551565544601,-0.943551565544601,1.13736613267487,1.47929900859889,0.94,0.06,0.0106207344378814,3.95,3.7592,0.452,0.808,0.932,0.038,0.016,0,500,0
500,0.1,0.1,"Full-GMM",1.1775515655446,-1.1775515655446,1.36291163913191,1.67928904287396,0.926,0.074,0.0117067501895274,3.85,3.7951,0.144,0.932,0.952,0.036,0.02,0,500,0
500,0.1,0.1,"Oracle-GMM",0.875151565544601,-0.875151565544601,1.11041097612041,1.48713459467365,0.944,0.056,0.0102824121683582,4,3.7769,0.504,0.924,0.96,0.052,0.024,0,500,0
500,0.25,1,"DML-IVQR",-0.0005102498039182,0.0005102498039182,0.126697967962352,0.161478358781796,0.96,0.04,0.00876356092008266,0.7,0.7016,0,0,0,0,0,0,500,0
500,0.25,1,"Full-GMM",0.214689750196082,-0.214689750196082,0.245057112131767,0.29430536665045,0.768,0.232,0.0188772879408034,0.85,0.837,0,0,0,0,0,0,500,0
500,0.25,1,"Oracle-GMM",0.0454897501960818,-0.0454897501960818,0.101742852021961,0.128562503759463,0.884,0.116,0.0143208938268531,0.4,0.4318,0,0,0,0,0,0,500,0
500,0.25,0.5,"DML-IVQR",0.170489750196082,-0.170489750196082,0.329771426010981,0.526849840962226,0.956,0.044,0.00917213170424412,2.3,2.20125,0,0.018,0.392,0,0.002,0,500,0
500,0.25,0.5,"Full-GMM",0.268089750196082,-0.268089750196082,0.395489777080786,0.533545831358654,0.89,0.11,0.0139928553197694,2.075,2.1342,0.002,0.18,0.148,0,0,0,500,0
500,0.25,0.5,"Oracle-GMM",0.0700897501960818,-0.0700897501960818,0.207551016018824,0.296535348790914,0.93,0.07,0.0114105214604767,1.1625,1.34825,0,0.036,0.066,0,0,0,500,0
500,0.25,0.25,"DML-IVQR",0.603489750196082,-0.603489750196082,0.825526515066668,1.13684602237582,0.946,0.054,0.0101078187557949,3.525,3.4074,0.19,0.428,0.924,0.008,0.036,0,500,0
500,0.25,0.25,"Full-GMM",0.409489750196082,-0.409489750196082,0.776844884059609,0.999238137540621,0.946,0.054,0.0101078187557949,3.575,3.38505,0.104,0.68,0.73,0.014,0.006,0,500,0
