"n","tau","kappa","estimator","delta","power","MCSE_power","successful_replications","failed_replications"
1000,0.5,0.5,"Full-GMM",-0.5,0.74,0.0620322496770833,50,0
1000,0.5,0.5,"Full-GMM",-0.25,0.32,0.0659696900098826,50,0
1000,0.5,0.5,"Full-GMM",0.25,0.3,0.0648074069840786,50,0
1000,0.5,0.5,"Full-GMM",0.5,0.7,0.0648074069840786,50,0
1000,0.5,0.5,"Oracle-GMM",-0.5,0.92,0.0383666521865017,50,0
1000,0.5,0.5,"Oracle-GMM",-0.25,0.56,0.070199715099137,50,0
1000,0.5,0.5,"Oracle-GMM",0.25,0.52,0.0706540869306228,50,0
1000,0.5,0.5,"Oracle-GMM",0.5,0.96,0.027712812921102,50,0
1000,0.5,0.25,"DML-IVQR",-0.5,0.34,0.0669925368977769,50,0
1000,0.5,0.25,"DML-IVQR",-0.25,0.16,0.0518459255872629,50,0
1000,0.5,0.25,"DML-IVQR",0.25,0.14,0.0490713765855412,50,0
1000,0.5,0.25,"DML-IVQR",0.5,0.34,0.0669925368977769,50,0
1000,0.5,0.25,"Full-GMM",-0.5,0.22,0.0585832740635072,50,0
1000,0.5,0.25,"Full-GMM",-0.25,0.14,0.0490713765855412,50,0
1000,0.5,0.25,"Full-GMM",0.25,0.12,0.0459565011723042,50,0
1000,0.5,0.25,"Full-GMM",0.5,0.22,0.0585832740635072,50,0
1000,0.5,0.25,"Oracle-GMM",-0.5,0.32,0.0659696900098826,50,0
1000,0.5,0.25,"Oracle-GMM",-0.25,0.22,0.0585832740635072,50,0
1000,0.5,0.25,"Oracle-GMM",0.25,0.12,0.0459565011723042,50,0
1000,0.5,0.25,"Oracle-GMM",0.5,0.42,0.0697997134664606,50,0
1000,0.5,0.1,"DML-IVQR",-0.5,0.12,0.0459565011723042,50,0
1000,0.5,0.1,"DML-IVQR",-0.25,0.14,0.0490713765855412,50,0
1000,0.5,0.1,"DML-IVQR",0.25,0.08,0.0383666521865018,50,0
1000,0.5,0.1,"DML-IVQR",0.5,0.12,0.0459565011723042,50,0
1000,0.5,0.1,"Full-GMM",-0.5,0.1,0.0424264068711929,50,0
1000,0.5,0.1,"Full-GMM",-0.25,0.14,0.0490713765855412,50,0
1000,0.5,0.1,"Full-GMM",0.25,0.02,0.0197989898732233,50,0
1000,0.5,0.1,"Full-GMM",0.5,0.1,0.0424264068711929,50,0
1000,0.5,0.1,"Oracle-GMM",-0.5,0.1,0.0424264068711929,50,0
1000,0.5,0.1,"Oracle-GMM",-0.25,0.12,0.0459565011723042,50,0
1000,0.5,0.1,"Oracle-GMM",0.25,0.12,0.0459565011723042,50,0
1000,0.5,0.1,"Oracle-GMM",0.5,0.16,0.0518459255872629,50,0
1000,0.75,1,"DML-IVQR",-0.5,0.98,0.0197989898732233,50,0
1000,0.75,1,"DML-IVQR",-0.25,0.6,0.0692820323027551,50,0
1000,0.75,1,"DML-IVQR",0.25,1,0,50,0
1000,0.75,1,"DML-IVQR",0.5,1,0,50,0
1000,0.75,1,"Full-GMM",-0.5,0.86,0.0490713765855412,50,0
1000,0.75,1,"Full-GMM",-0.25,0.26,0.0620322496770833,50,0
1000,0.75,1,"Full-GMM",0.25,0.82,0.0543323108288245,50,0
1000,0.75,1,"Full-GMM",0.5,1,0,50,0
1000,0.75,1,"Oracle-GMM",-0.5,0.98,0.0197989898732233,50,0
1000,0.75,1,"Oracle-GMM",-0.25,0.78,0.0585832740635072,50,0
1000,0.75,1,"Oracle-GMM",0.25,0.92,0.0383666521865017,50,0
1000,0.75,1,"Oracle-GMM",0.5,1,0,50,0
1000,0.75,0.5,"DML-IVQR",-0.5,0.66,0.0669925368977769,50,0
1000,0.75,0.5,"DML-IVQR",-0.25,0.22,0.0585832740635072,50,0
1000,0.75,0.5,"DML-IVQR",0.25,0.66,0.0669925368977769,50,0
1000,0.75,0.5,"DML-IVQR",0.5,0.94,0.0335857112474933,50,0
1000,0.75,0.5,"Full-GMM",-0.5,0.28,0.0634980314655502,50,0
1000,0.75,0.5,"Full-GMM",-0.25,0.12,0.0459565011723042,50,0
1000,0.75,0.5,"Full-GMM",0.25,0.34,0.0669925368977769,50,0
1000,0.75,0.5,"Full-GMM",0.5,0.82,0.0543323108288245,50,0
1000,0.75,0.5,"Oracle-GMM",-0.5,0.66,0.0669925368977769,50,0
1000,0.75,0.5,"Oracle-GMM",-0.25,0.36,0.0678822509939086,50,0
1000,0.75,0.5,"Oracle-GMM",0.25,0.42,0.0697997134664606,50,0
1000,0.75,0.5,"Oracle-GMM",0.5,0.9,0.0424264068711928,50,0
1000,0.75,0.25,"DML-IVQR",-0.5,0.34,0.0669925368977769,50,0
1000,0.75,0.25,"DML-IVQR",-0.25,0.1,0.0424264068711929,50,0
1000,0.75,0.25,"DML-IVQR",0.25,0.14,0.0490713765855412,50,0
1000,0.75,0.25,"DML-IVQR",0.5,0.36,0.0678822509939086,50,0
1000,0.75,0.25,"Full-GMM",-0.5,0.16,0.0518459255872629,50,0
1000,0.75,0.25,"Full-GMM",-0.25,0.12,0.0459565011723042,50,0
1000,0.75,0.25,"Full-GMM",0.25,0.14,0.0490713765855412,50,0
1000,0.75,0.25,"Full-GMM",0.5,0.26,0.0620322496770833,50,0
1000,0.75,0.25,"Oracle-GMM",-0.5,0.24,0.060398675482166,50,0
1000,0.75,0.25,"Oracle-GMM",-0.25,0.16,0.0518459255872629,50,0
1000,0.75,0.25,"Oracle-GMM",0.25,0.18,0.0543323108288245,50,0
1000,0.75,0.25,"Oracle-GMM",0.5,0.36,0.0678822509939086,50,0
1000,0.75,0.1,"DML-IVQR",-0.5,0.22,0.0585832740635072,50,0
1000,0.75,0.1,"DML-IVQR",-0.25,0.06,0.0335857112474933,50,0
1000,0.75,0.1,"DML-IVQR",0.25,0.06,0.0335857112474933,50,0
1000,0.75,0.1,"DML-IVQR",0.5,0.12,0.0459565011723042,50,0
1000,0.75,0.1,"Full-GMM",-0.5,0.08,0.0383666521865018,50,0
1000,0.75,0.1,"Full-GMM",-0.25,0.08,0.0383666521865018,50,0
1000,0.75,0.1,"Full-GMM",0.25,0.06,0.0335857112474933,50,0
1000,0.75,0.1,"Full-GMM",0.5,0.06,0.0335857112474933,50,0
1000,0.75,0.1,"Oracle-GMM",-0.5,0.14,0.0490713765855412,50,0
1000,0.75,0.1,"Oracle-GMM",-0.25,0.08,0.0383666521865018,50,0
1000,0.75,0.1,"Oracle-GMM",0.25,0.08,0.0383666521865018,50,0
1000,0.75,0.1,"Oracle-GMM",0.5,0.08,0.0383666521865018,50,0
1000,0.9,1,"DML-IVQR",-0.5,0.78,0.0585832740635072,50,0
1000,0.9,1,"DML-IVQR",-0.25,0.14,0.0490713765855412,50,0
1000,0.9,1,"DML-IVQR",0.25,1,0,50,0
1000,0.9,1,"DML-IVQR",0.5,1,0,50,0
1000,0.9,1,"Full-GMM",-0.5,0.12,0.0459565011723042,50,0
1000,0.9,1,"Full-GMM",-0.25,0.1,0.0424264068711929,50,0
1000,0.9,1,"Full-GMM",0.25,0.88,0.0459565011723042,50,0
1000,0.9,1,"Full-GMM",0.5,1,0,50,0
1000,0.9,1,"Oracle-GMM",-0.5,0.84,0.0518459255872629,50,0
1000,0.9,1,"Oracle-GMM",-0.25,0.36,0.0678822509939086,50,0
1000,0.9,1,"Oracle-GMM",0.25,0.96,0.027712812921102,50,0
1000,0.9,1,"Oracle-GMM",0.5,1,0,50,0
1000,0.9,0.5,"DML-IVQR",-0.5,0.24,0.060398675482166,50,0
1000,0.9,0.5,"DML-IVQR",-0.25,0.12,0.0459565011723042,50,0
1000,0.9,0.5,"DML-IVQR",0.25,0.68,0.0659696900098826,50,0
1000,0.9,0.5,"DML-IVQR",0.5,0.96,0.027712812921102,50,0
1000,0.9,0.5,"Full-GMM",-0.5,0.14,0.0490713765855412,50,0
1000,0.9,0.5,"Full-GMM",-0.25,0.14,0.0490713765855412,50,0
1000,0.9,0.5,"Full-GMM",0.25,0.42,0.0697997134664606,50,0
1000,0.9,0.5,"Full-GMM",0.5,0.58,0.0697997134664606,50,0
1000,0.9,0.5,"Oracle-GMM",-0.5,0.24,0.060398675482166,50,0
1000,0.9,0.5,"Oracle-GMM",-0.25,0.1,0.0424264068711929,50,0
1000,0.9,0.5,"Oracle-GMM",0.25,0.56,0.070199715099137,50,0
1000,0.9,0.5,"Oracle-GMM",0.5,0.84,0.0518459255872629,50,0
1000,0.9,0.25,"DML-IVQR",-0.5,0.12,0.0459565011723042,50,0
1000,0.9,0.25,"DML-IVQR",-0.25,0.1,0.0424264068711929,50,0
1000,0.9,0.25,"DML-IVQR",0.25,0.26,0.0620322496770833,50,0
1000,0.9,0.25,"DML-IVQR",0.5,0.34,0.0669925368977769,50,0
1000,0.9,0.25,"Full-GMM",-0.5,0.08,0.0383666521865018,50,0
1000,0.9,0.25,"Full-GMM",-0.25,0.06,0.0335857112474933,50,0
1000,0.9,0.25,"Full-GMM",0.25,0.12,0.0459565011723042,50,0
1000,0.9,0.25,"Full-GMM",0.5,0.2,0.0565685424949238,50,0
1000,0.9,0.25,"Oracle-GMM",-0.5,0.16,0.0518459255872629,50,0
1000,0.9,0.25,"Oracle-GMM",-0.25,0.08,0.0383666521865018,50,0
1000,0.9,0.25,"Oracle-GMM",0.25,0.16,0.0518459255872629,50,0
1000,0.9,0.25,"Oracle-GMM",0.5,0.24,0.060398675482166,50,0
1000,0.9,0.1,"DML-IVQR",-0.5,0.1,0.0424264068711929,50,0
1000,0.9,0.1,"DML-IVQR",-0.25,0.06,0.0335857112474933,50,0
1000,0.9,0.1,"DML-IVQR",0.25,0.06,0.0335857112474933,50,0
1000,0.9,0.1,"DML-IVQR",0.5,0.1,0.0424264068711929,50,0
1000,0.9,0.1,"Full-GMM",-0.5,0.04,0.027712812921102,50,0
1000,0.9,0.1,"Full-GMM",-0.25,0.08,0.0383666521865018,50,0
1000,0.9,0.1,"Full-GMM",0.25,0.1,0.0424264068711929,50,0
1000,0.9,0.1,"Full-GMM",0.5,0.04,0.027712812921102,50,0
1000,0.9,0.1,"Oracle-GMM",-0.5,0.08,0.0383666521865018,50,0
1000,0.9,0.1,"Oracle-GMM",-0.25,0.04,0.027712812921102,50,0
1000,0.9,0.1,"Oracle-GMM",0.25,0.12,0.0459565011723042,50,0
1000,0.9,0.1,"Oracle-GMM",0.5,0.14,0.0490713765855412,50,0
